Dates,CALENDAR1,ESPECULADORES NET,COBERTURISTAS NET
4/2/2010,0.47,117154,-133232
4/9/2010,0.71,128138,-146015
4/16/2010,1.43,113364,-146027
4/23/2010,1.92,121475,-148126
4/30/2010,2.21,109264,-138169
5/7/2010,3.4,109870,-130846
5/14/2010,3.82,92895,-118679
5/21/2010,1.63,67361,-86629
5/28/2010,1.19,40443,-53090
6/4/2010,1.29,24875,-29634
6/11/2010,1.56,17457,-23057
6/18/2010,1.08,32930,-27938
6/25/2010,0.57,39635,-41239
7/2/2010,0.46,37120,-41144
7/9/2010,0.54,26215,-35069
7/16/2010,0.37,34645,-28042
7/23/2010,0.36,36145,-28747
7/30/2010,0.44,44313,-42887
8/6/2010,0.48,55678,-51380
8/13/2010,0.38,60336,-64635
8/20/2010,0.36,62056,-73846
8/27/2010,1.04,27323,-49128
9/3/2010,1.37,13120,-26178
9/10/2010,0.92,10489,-25439
9/17/2010,1.26,48337,-52837
9/24/2010,1.16,43900,-59672
10/1/2010,0.92,61496,-72356
10/8/2010,0.69,116026,-122931
10/15/2010,0.68,129326,-143237
10/22/2010,0.76,100830,-118275
10/29/2010,0.72,125271,-134958
11/5/2010,0.63,130108,-144563
11/12/2010,0.46,144107,-166581
11/19/2010,0.47,171991,-198943
11/26/2010,0.59,141446,-165622
12/3/2010,0.4,146894,-172595
12/10/2010,0.52,176557,-200484
12/17/2010,0.58,162785,-191683
12/24/2010,0.65,160414,-191281
12/31/2010,0.84,162550,-198611
1/7/2011,1.19,149466,-188223
1/14/2011,1.03,169085,-203641
1/21/2011,1.52,166551,-209503
1/28/2011,2.34,143317,-186754
2/4/2011,2.82,152709,-196780
2/11/2011,3.55,165508,-221010
2/18/2011,3.51,165514,-216556
2/25/2011,1.48,219022,-258897
3/4/2011,1.19,271887,-319669
3/11/2011,1.19,275582,-317064
3/18/2011,0.78,254568,-310203
3/25/2011,0.54,253728,-303980
4/1/2011,0.56,254894,-297493
4/8/2011,0.58,252151,-289021
4/15/2011,0.56,243261,-287470
4/22/2011,0.46,254031,-295164
4/29/2011,0.5,258068,-291450
5/6/2011,0.59,244326,-283704
5/13/2011,0.47,211514,-243171
5/20/2011,0.61,203079,-231527
5/27/2011,0.57,199192,-225640
6/3/2011,0.58,191137,-219619
6/10/2011,0.56,176124,-207579
6/17/2011,0.39,166371,-197975
6/24/2011,0.55,149067,-177978
7/1/2011,0.57,134554,-156419
7/8/2011,0.5,138390,-156799
7/15/2011,0.36,150895,-171813
7/22/2011,0.33,154947,-185103
7/29/2011,0.43,158767,-191553
8/5/2011,0.42,147376,-181231
8/12/2011,0.31,135718,-165473
8/19/2011,0.15,131234,-141685
8/26/2011,0.33,136340,-150456
9/2/2011,0.29,152688,-161774
9/9/2011,0.17,165142,-174801
9/16/2011,0.22,165395,-169016
9/23/2011,0.27,159965,-166400
9/30/2011,0.13,137686,-139051
10/7/2011,0.19,108164,-114385
10/14/2011,0.2,121061,-120565
10/21/2011,0.07,144371,-132269
10/28/2011,-0.08,159718,-157391
11/4/2011,-0.07,161612,-166279
11/11/2011,-0.1,167042,-172508
11/18/2011,0.26,173407,-178019
11/25/2011,0.14,157346,-177463
12/2/2011,0.13,156479,-177830
12/9/2011,0.19,155804,-183841
12/16/2011,0.22,149303,-176088
12/23/2011,0.15,138042,-156128
12/30/2011,0.17,144588,-163369
1/6/2012,0.22,144468,-172152
1/13/2012,0.18,159348,-195395
1/20/2012,-0.13,171226,-203116
1/27/2012,0.35,177845,-205267
2/3/2012,0.39,170699,-201460
2/10/2012,0.36,168885,-201157
2/17/2012,0.36,204752,-231813
2/24/2012,0.41,228180,-261678
3/2/2012,0.47,254559,-291550
3/9/2012,0.47,236952,-273620
3/16/2012,0.52,243174,-278617
3/23/2012,0.48,234592,-269549
3/30/2012,0.52,229452,-263949
4/6/2012,0.52,215557,-245382
4/13/2012,0.49,197582,-225118
4/20/2012,0.83,213555,-231621
4/27/2012,0.39,212386,-232482
5/4/2012,0.39,226643,-251463
5/11/2012,0.36,183960,-204021
5/18/2012,0.32,184463,-199182
5/25/2012,0.29,184071,-189437
6/1/2012,0.33,178885,-183417
6/8/2012,0.29,146837,-153662
6/15/2012,0.3,130858,-137290
6/22/2012,0.38,123908,-127834
6/29/2012,0.41,112833,-121874
7/6/2012,0.38,131583,-133961
7/13/2012,0.4,138572,-142500
7/20/2012,0.39,172779,-166176
7/27/2012,0.29,190693,-189865
8/3/2012,0.24,174397,-178374
8/10/2012,0.28,204499,-204212
8/17/2012,0.31,193382,-197616
8/24/2012,0.3,230415,-231708
8/31/2012,0.29,249262,-253179
9/7/2012,0.33,238592,-249252
9/14/2012,0.33,248665,-259688
9/21/2012,0.32,267151,-278613
9/28/2012,0.37,231297,-244731
10/5/2012,0.39,215880,-223785
10/12/2012,0.42,213598,-217022
10/19/2012,0.39,206472,-209383
10/26/2012,0.52,186381,-195243
11/2/2012,0.54,169575,-174849
11/9/2012,0.48,165844,-163893
11/16/2012,0.25,177767,-182614
11/23/2012,0.62,177879,-183978
11/30/2012,0.58,180034,-185759
12/7/2012,0.57,193833,-196693
12/14/2012,0.52,166339,-176249
12/21/2012,0.57,182911,-183952
12/28/2012,0.5,194707,-192305
1/4/2013,0.42,198078,-199693
1/11/2013,0.43,214778,-218386
1/18/2013,0.48,226751,-239616
1/25/2013,0.45,246103,-252409
2/1/2013,0.47,267989,-275731
2/8/2013,0.55,266804,-280988
2/15/2013,0.55,272875,-285663
2/22/2013,0.44,257918,-269948
3/1/2013,0.46,236098,-248280
3/8/2013,0.48,235740,-230314
3/15/2013,0.37,228195,-225287
3/22/2013,0.25,223721,-221853
3/29/2013,0.26,244607,-243899
4/5/2013,0.31,248850,-256474
4/12/2013,0.32,223398,-231272
4/19/2013,0.26,210703,-206652
4/26/2013,0.25,211575,-199187
5/3/2013,0.21,209941,-200424
5/10/2013,0.25,220626,-216551
5/17/2013,0.27,232590,-234435
5/24/2013,0.19,268944,-267810
5/31/2013,0.24,257139,-258567
6/7/2013,0.24,255834,-247418
6/14/2013,0.22,269831,-267866
