Días,C1(t)-C1(0),DS1,C(1)25,C(1)75,C2(t)-C2(0),DS2,C(2)25,C(2)75,C3(t)-C3(0),DS3,C(3)25,C(3)75,C4(t)-C4(0),DS4,C(4)25,C(4)75,,
-14,0.0203,0.5707,-0.0600,0.1300,0.0311,0.2669,-0.0775,0.1625,0.0426,0.1638,-0.0525,0.1400,0.0362,0.1326,-0.0525,0.1125,,
-13,0.0361,0.5995,-0.0725,0.1600,0.0380,0.2685,-0.0700,0.1250,0.0461,0.1603,-0.0500,0.1600,0.0408,0.1303,-0.0400,0.1325,,
-12,0.0312,0.6057,-0.0625,0.1425,0.0310,0.2639,-0.0600,0.1325,0.0426,0.1607,-0.0425,0.1400,0.0376,0.1300,-0.0400,0.1325,,
-11,0.0265,0.5739,-0.0925,0.1450,0.0342,0.2562,-0.0800,0.1425,0.0386,0.1541,-0.0400,0.1400,0.0334,0.1249,-0.0425,0.1125,,
-10,0.0149,0.5660,-0.1100,0.1525,0.0267,0.2553,-0.0900,0.1500,0.0264,0.1616,-0.0425,0.1225,0.0167,0.1290,-0.0525,0.0925,,
-9,-0.0090,0.5645,-0.1100,0.1500,0.0285,0.2402,-0.0800,0.1500,0.0281,0.1549,-0.0600,0.1400,0.0173,0.1210,-0.0625,0.1000,,
-8,-0.0210,0.5472,-0.1150,0.1600,0.0304,0.2393,-0.0825,0.1400,0.0269,0.1500,-0.0600,0.1325,0.0161,0.1186,-0.0600,0.0925,,
-7,-0.0497,0.5683,-0.1150,0.1600,0.0197,0.2005,-0.0700,0.1100,0.0195,0.1374,-0.0600,0.1000,0.0137,0.1065,-0.0425,0.0700,,
-6,-0.0008,0.3756,-0.0725,0.1100,-0.0063,0.1848,-0.0800,0.0750,-0.0053,0.1200,-0.0900,0.0625,0.0001,0.1022,-0.0600,0.0600,,
-5,-0.0335,0.3479,-0.0800,0.0600,-0.0151,0.1606,-0.0825,0.0600,-0.0091,0.1018,-0.0700,0.0425,0.0024,0.0897,-0.0600,0.0600,,
-4,-0.0227,0.2236,-0.0625,0.0500,-0.0183,0.1340,-0.0800,0.0525,-0.0083,0.0837,-0.0700,0.0425,0.0039,0.0754,-0.0500,0.0600,,
-3,-0.0150,0.1825,-0.0400,0.0400,-0.0198,0.1096,-0.0625,0.0325,-0.0121,0.0742,-0.0500,0.0300,-0.0039,0.0695,-0.0500,0.0400,,
-2,-0.0008,0.1416,-0.0325,0.0400,-0.0118,0.0930,-0.0500,0.0200,-0.0067,0.0605,-0.0400,0.0300,-0.0028,0.0546,-0.0300,0.0300,,
-1,-0.0068,0.0892,-0.0300,0.0200,-0.0107,0.0623,-0.0400,0.0125,-0.0063,0.0434,-0.0300,0.0200,-0.0039,0.0375,-0.0300,0.0200,,
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,
1,0.0013,0.1372,-0.0200,0.0300,-0.0021,0.0650,-0.0300,0.0300,0.0083,0.0435,-0.0100,0.0325,0.0062,0.0432,-0.0100,0.0300,,
2,-0.0119,0.2046,-0.0325,0.0500,-0.0021,0.1413,-0.0400,0.0600,0.0149,0.0849,0.0000,0.0600,0.0102,0.0655,-0.0125,0.0525,,
3,-0.0173,0.2150,-0.0425,0.0500,-0.0018,0.1732,-0.0400,0.0700,0.0138,0.1102,-0.0300,0.0700,0.0073,0.0853,-0.0300,0.0600,,
4,0.0119,0.1748,-0.0400,0.0700,0.0128,0.1705,-0.0300,0.0900,0.0201,0.1199,-0.0325,0.0825,0.0063,0.0999,-0.0400,0.0800,,
5,0.0469,0.2276,-0.0200,0.0900,0.0253,0.1750,-0.0200,0.1025,0.0305,0.1302,-0.0100,0.1025,0.0186,0.1083,-0.0325,0.0825,,
6,0.0536,0.2563,-0.0300,0.0900,0.0293,0.2088,-0.0325,0.1200,0.0402,0.1491,-0.0100,0.1200,0.0308,0.1187,-0.0325,0.1000,,
7,0.0625,0.2978,-0.0500,0.1000,0.0320,0.1952,-0.0400,0.1100,0.0366,0.1457,-0.0225,0.1100,0.0308,0.1092,-0.0200,0.1000,,
8,0.0639,0.3484,-0.0425,0.1200,0.0286,0.2107,-0.0425,0.1300,0.0380,0.1658,-0.0200,0.1300,0.0349,0.1146,-0.0300,0.1100,,
9,0.0918,0.4151,-0.0500,0.1225,0.0408,0.1998,-0.0625,0.1325,0.0440,0.1579,-0.0525,0.1400,0.0388,0.1250,-0.0400,0.1200,,
10,0.0833,0.4223,-0.0600,0.1325,0.0423,0.2050,-0.0625,0.1325,0.0422,0.1609,-0.0400,0.1325,0.0354,0.1265,-0.0300,0.1300,,
11,0.0379,0.2803,-0.0725,0.1325,0.0368,0.2031,-0.0700,0.1400,0.0379,0.1723,-0.0600,0.1300,0.0312,0.1386,-0.0400,0.1200,,
12,0.0091,0.2943,-0.0900,0.1050,0.0363,0.2043,-0.0700,0.1125,0.0348,0.1708,-0.0700,0.1300,0.0249,0.1377,-0.0525,0.1200,,
13,0.0077,0.2477,-0.0875,0.1025,0.0344,0.2107,-0.0700,0.1200,0.0283,0.1805,-0.0625,0.1225,0.0178,0.1445,-0.0500,0.1100,,
14,0.0093,0.3626,-0.1225,0.1525,0.0332,0.2196,-0.0825,0.1200,0.0228,0.1807,-0.0725,0.1225,0.0111,0.1470,-0.0700,0.1025,,
